04/20/23, Booster 7, Ship 24, Failure, RUD before Staging, RUD Before Staging
11/18/23, Booster 9, Ship 25, Failure, RUD during boost back, RUD before SECO
03/14/24, Booster 10, Ship 28, Success, RUD during Landing Burn, RUD During Reentry


